QUANTIDADE DE SUPORTES PRIMEIRO TRIMESTRE,QUANTIDADE DE SUPORTES SEGUNDO TRIMESTRE,QUANTIDADE DE SUPORTES TERCEIRO TRIMESTRE,QUANTIDADE DE SUPORTES QUARTO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET PRIMEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET SEGUNDO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET TERCEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET QUARTO TRIMESTRE,LOCALIDADE_Cidade,LOCALIDADE_Área Rural,CIDADE_Juiz de Fora,CIDADE_Mercês,CIDADE_Rio Pomba,CIDADE_Silveirânia,CIDADE_Tabuleiro,CIDADE_Ubá,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Roteador desconfigurado,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Roteador desconfigurado,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Roteador desconfigurado,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Roteador desconfigurado,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Valor da mensalidade adequado,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Valor da mensalidade adequado,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Valor da mensalidade adequado,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Valor da mensalidade adequado,Outlier,QUANTIDADE DE SUPORTES PRIMEIRO TRIMESTRE_BoxCox,QUANTIDADE DE SUPORTES SEGUNDO TRIMESTRE_BoxCox,QUANTIDADE DE SUPORTES TERCEIRO TRIMESTRE_BoxCox,QUANTIDADE DE SUPORTES QUARTO TRIMESTRE_BoxCox,QUANTIDADE DE INSTALAÇÕES INTERNET PRIMEIRO TRIMESTRE_BoxCox,QUANTIDADE DE INSTALAÇÕES INTERNET SEGUNDO TRIMESTRE_BoxCox,QUANTIDADE DE INSTALAÇÕES INTERNET TERCEIRO TRIMESTRE_BoxCox,QUANTIDADE DE INSTALAÇÕES INTERNET QUARTO TRIMESTRE_BoxCox
0.51,0.6100000000000001,0.6766666666666665,1.0099999999999998,0.01,0.51,0.01,0.8433333333333333,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,-0.6535968871765989,-0.4371216647692551,-0.34913261197844925,0.009974872590730766,-2.0746635514868395,-0.6236175490484909,-1.6153104485371812,-0.16483506918182347
0.51,0.01,0.01,0.4099999999999999,1.01,0.26,0.81,0.01,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,-0.6535968871765989,-1.7787942805574113,-1.5926340684151485,-0.7208817555976552,0.009970584308767114,-1.1577328807810685,-0.1984490293670586,-2.1335817255004645
0.01,0.01,1.01,1.0099999999999998,0.01,0.01,1.01,1.01,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,-3.7793309601507126,-1.7787942805574113,0.009979374456448599,0.009974872590730766,-2.0746635514868395,-2.8355916786016078,0.009978865818107932,0.009969732974378063
0.26,0.4100000000000001,0.343333333333333,0.4099999999999999,0.51,0.01,0.6100000000000001,0.51,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-1.2695764116356874,-0.7170072968171823,-0.7945792423950163,-0.7208817555976552,-0.5886635801887408,-2.8355916786016078,-0.4302279665249522,-0.5919193515654001
0.26,0.6100000000000001,0.01,1.0099999999999998,1.01,0.01,1.01,0.8433333333333333,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,-1.2695764116356874,-0.4371216647692551,-1.5926340684151485,0.009974872590730766,0.009970584308767114,-2.8355916786016078,0.009978865818107932,-0.16483506918182347
0.01,0.01,0.343333333333333,0.4099999999999999,0.01,0.01,0.01,0.51,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-3.7793309601507126,-1.7787942805574113,-0.7945792423950163,-0.7208817555976552,-2.0746635514868395,-2.8355916786016078,-1.6153104485371812,-0.5919193515654001
0.01,0.6100000000000001,0.6766666666666665,0.4099999999999999,1.01,0.26,0.01,0.01,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,-3.7793309601507126,-0.4371216647692551,-0.34913261197844925,-0.7208817555976552,0.009970584308767114,-1.1577328807810685,-1.6153104485371812,-2.1335817255004645
0.01,0.01,0.343333333333333,0.4099999999999999,0.01,0.01,0.6100000000000001,0.01,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-3.7793309601507126,-1.7787942805574113,-0.7945792423950163,-0.7208817555976552,-2.0746635514868395,-2.8355916786016078,-0.4302279665249522,-2.1335817255004645
0.01,0.01,0.343333333333333,0.01,0.01,0.01,0.6100000000000001,0.51,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,-3.7793309601507126,-1.7787942805574113,-0.7945792423950163,-1.8136559225358464,-2.0746635514868395,-2.8355916786016078,-0.4302279665249522,-0.5919193515654001
0.01,0.4100000000000001,0.6766666666666665,1.0099999999999998,0.76,1.01,0.01,1.01,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,-3.7793309601507126,-0.7170072968171823,-0.34913261197844925,0.009974872590730766,-0.25961032820219576,0.009961768585032088,-1.6153104485371812,0.009969732974378063
0.26,0.4100000000000001,0.343333333333333,1.0099999999999998,0.01,0.01,0.6100000000000001,0.8433333333333333,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1.2695764116356874,-0.7170072968171823,-0.7945792423950163,0.009974872590730766,-2.0746635514868395,-2.8355916786016078,-0.4302279665249522,-0.16483506918182347
0.26,0.6100000000000001,0.343333333333333,0.2099999999999999,0.76,0.51,0.81,0.8433333333333333,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,-1.2695764116356874,-0.4371216647692551,-0.7945792423950163,-1.0872259343920472,-0.25961032820219576,-0.6236175490484909,-0.1984490293670586,-0.16483506918182347
0.01,0.4100000000000001,0.01,0.01,0.01,0.01,0.01,0.01,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-3.7793309601507126,-0.7170072968171823,-1.5926340684151485,-1.8136559225358464,-2.0746635514868395,-2.8355916786016078,-1.6153104485371812,-2.1335817255004645
